elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000007, 10.000007, 47561, 946, 6082.2, 5156, 13918, 19309, 31238, 225724, 0
20.000923, 10.000916, 46684, 783, 5934.4, 5114, 13087, 17511, 24032, 213233, 0
30.000914, 9.999991, 44305, 691, 6094.8, 4662, 14837, 20565, 31490, 220154, 0
40.000892, 9.999978, 40399, 640, 6248.2, 4450, 16191, 22814, 36283, 227696, 0
50.000865, 9.999973, 37404, 685, 6770.1, 4674, 18145, 25830, 50711, 253070, 0
60.000897, 10.000032, 35400, 682, 7160.7, 4760, 19740, 30491, 54548, 263592, 0
70.000872, 9.999975, 33691, 680, 8058.5, 5432, 21755, 31317, 57952, 259609, 0
80.000897, 10.000025, 32023, 751, 8472.4, 5695, 22718, 34033, 211550, 264228, 0
90.00086, 9.999963, 31006, 673, 8853.8, 6102, 23495, 33663, 212021, 268103, 0
100.000972, 10.000112, 29962, 814, 9412.3, 6369, 25328, 36537, 215734, 321167, 0
110.000861, 9.999889, 28691, 728, 9889.4, 6721, 25625, 40945, 221733, 282811, 0
120.000914, 10.000053, 27792, 744, 10577.5, 7444, 26997, 38982, 224167, 279259, 0
130.000895, 9.999981, 26921, 786, 10703.3, 7751, 26759, 41044, 222877, 285209, 0
140.000868, 9.999973, 26626, 755, 10716.3, 7827, 27081, 39410, 220441, 279047, 0
150.000861, 9.999993, 26074, 747, 11437.8, 8249, 27682, 43504, 229067, 636498, 0
160.000858, 9.999997, 25583, 646, 11366.1, 8136, 29102, 45553, 225077, 275569, 0
170.000899, 10.000041, 24805, 634, 11976.3, 8792, 29695, 44058, 226588, 681498, 0
180.000976, 10.000077, 24361, 753, 12207.0, 9213, 28888, 43110, 229750, 269857, 0
190.000847, 9.999871, 24190, 634, 12781.4, 9424, 30066, 46609, 237183, 296295, 0
200.000903, 10.000056, 23594, 789, 13045.3, 9617, 30598, 46630, 236788, 308002, 0
210.000893, 9.99999, 23255, 742, 12689.6, 9584, 28811, 47693, 245614, 502882, 0
220.000964, 10.000071, 22844, 884, 12808.8, 9642, 29907, 48268, 236556, 278639, 0
230.000863, 9.999899, 22626, 785, 13393.2, 10335, 30539, 46613, 248589, 709337, 0
240.000894, 10.000031, 21800, 865, 12419.1, 9471, 28549, 44569, 234970, 296377, 0
250.000849, 9.999955, 21851, 912, 13779.7, 10266, 30788, 54644, 263049, 455925, 0
260.000863, 10.000014, 21620, 929, 15022.7, 11315, 32282, 59496, 258973, 693433, 0
270.000885, 10.000022, 21565, 1075, 15134.5, 11730, 31501, 56983, 267806, 704873, 0
280.00087, 9.999985, 21401, 996, 14929.7, 11661, 32112, 52274, 257000, 700006, 0
290.000874, 10.000004, 21259, 950, 16015.7, 12875, 32479, 54607, 265501, 684505, 0
300.000873, 9.999999, 20820, 882, 15621.0, 12500, 31879, 53602, 266469, 702844, 0
310.000906, 10.000033, 20628, 901, 16189.5, 13114, 33284, 55165, 260926, 650269, 0
