elapsed, window, total, successful, failed
10.000007, 10.000007, 63588, 63588, 0
20.000923, 10.000916, 62241, 62241, 0
30.000914, 9.999991, 59083, 59083, 0
40.000892, 9.999978, 53833, 53833, 0
50.000865, 9.999973, 49811, 49811, 0
60.000897, 10.000032, 47125, 47125, 0
70.000872, 9.999975, 45018, 45018, 0
80.000897, 10.000025, 42630, 42630, 0
90.00086, 9.999963, 41157, 41157, 0
100.000972, 10.000112, 39789, 39789, 0
110.000861, 9.999889, 38125, 38125, 0
120.000914, 10.000053, 37132, 37132, 0
130.000895, 9.999981, 35775, 35775, 0
140.000868, 9.999973, 35442, 35442, 0
150.000861, 9.999993, 34518, 34518, 0
160.000858, 9.999997, 34106, 34106, 0
170.000899, 10.000041, 33084, 33084, 0
180.000976, 10.000077, 32692, 32692, 0
190.000847, 9.999871, 32058, 32058, 0
200.000903, 10.000056, 31409, 31409, 0
210.000893, 9.99999, 30975, 30975, 0
220.000964, 10.000071, 30417, 30417, 0
230.000863, 9.999899, 30152, 30152, 0
240.000894, 10.000031, 29201, 29201, 0
250.000849, 9.999955, 29263, 29263, 0
260.000863, 10.000014, 28808, 28808, 0
270.000885, 10.000022, 28797, 28797, 0
280.00087, 9.999985, 28457, 28457, 0
290.000874, 10.000004, 28199, 28199, 0
300.000873, 9.999999, 27766, 27766, 0
310.000906, 10.000033, 27515, 27515, 0
