elapsed, window, total, successful, failed
10.000031, 10.000031, 204827, 204827, 0
20.000737, 10.000706, 195830, 195830, 0
30.000748, 10.000011, 194549, 194549, 0
40.000763, 10.000015, 192510, 192510, 0
50.000757, 9.999994, 192748, 192748, 0
60.000731, 9.999974, 190861, 190861, 0
70.000744, 10.000013, 195133, 195133, 0
80.000754, 10.00001, 193586, 193586, 0
90.000788, 10.000034, 191270, 191270, 0
100.000755, 9.999967, 193630, 193630, 0
110.000746, 9.999991, 195121, 195121, 0
120.000744, 9.999998, 191513, 191513, 0
130.000845, 10.000101, 195189, 195189, 0
140.000742, 9.999897, 195459, 195459, 0
150.000755, 10.000013, 191996, 191996, 0
160.000738, 9.999983, 195045, 195045, 0
170.000729, 9.999991, 196628, 196628, 0
180.000777, 10.000048, 190496, 190496, 0
190.000742, 9.999965, 193756, 193756, 0
200.000736, 9.999994, 196411, 196411, 0
