elapsed, window, total, successful, failed
9.999953, 9.999953, 408057, 408057, 0
20.000543, 10.00059, 361064, 361064, 0
30.000558, 10.000015, 354212, 354212, 0
40.000556, 9.999998, 352000, 352000, 0
50.000592, 10.000036, 353618, 353618, 0
60.000563, 9.999971, 341277, 341277, 0
70.000743, 10.00018, 352232, 352232, 0
80.000561, 9.999818, 354153, 354153, 0
90.000576, 10.000015, 339141, 339141, 0
100.000574, 9.999998, 350222, 350222, 0
110.000551, 9.999977, 361206, 361206, 0
120.000552, 10.000001, 335740, 335740, 0
130.000559, 10.000007, 350452, 350452, 0
140.000575, 10.000016, 357053, 357053, 0
150.000558, 9.999983, 339646, 339646, 0
160.000565, 10.000007, 351578, 351578, 0
170.000572, 10.000007, 359691, 359691, 0
180.000554, 9.999982, 335884, 335884, 0
190.0006, 10.000046, 350281, 350281, 0
200.00057, 9.99997, 358874, 358874, 0
210.000566, 9.999996, 337955, 337955, 0
220.000547, 9.999981, 352319, 352319, 0
230.000566, 10.000019, 360257, 360257, 0
240.000557, 9.999991, 336770, 336770, 0
250.000543, 9.999986, 354337, 354337, 0
260.000545, 10.000002, 358346, 358346, 0
270.000552, 10.000007, 342964, 342964, 0
280.000577, 10.000025, 350730, 350730, 0
290.000548, 9.999971, 355186, 355186, 0
300.000542, 9.999994, 341765, 341765, 0
310.000587, 10.000045, 351309, 351309, 0
320.000579, 9.999992, 353840, 353840, 0
330.000543, 9.999964, 341103, 341103, 0
340.00057, 10.000027, 356665, 356665, 0
350.000574, 10.000004, 349073, 349073, 0
360.000558, 9.999984, 344523, 344523, 0
370.000553, 9.999995, 351362, 351362, 0
380.000567, 10.000014, 354384, 354384, 0
390.000553, 9.999986, 340515, 340515, 0
400.000548, 9.999995, 354717, 354717, 0
410.000547, 9.999999, 358318, 358318, 0
420.000542, 9.999995, 340177, 340177, 0
430.000545, 10.000003, 355363, 355363, 0
440.000551, 10.000006, 355087, 355087, 0
450.000574, 10.000023, 337765, 337765, 0
460.000672, 10.000098, 355205, 355205, 0
470.000541, 9.999869, 355452, 355452, 0
480.000555, 10.000014, 342420, 342420, 0
490.000558, 10.000003, 352858, 352858, 0
500.000582, 10.000024, 358548, 358548, 0
510.000545, 9.999963, 340397, 340397, 0
520.000561, 10.000016, 352427, 352427, 0
530.000551, 9.99999, 356737, 356737, 0
540.000574, 10.000023, 342045, 342045, 0
550.000554, 9.99998, 354138, 354138, 0
560.000545, 9.999991, 356652, 356652, 0
570.000557, 10.000012, 343957, 343957, 0
580.000569, 10.000012, 351960, 351960, 0
590.000574, 10.000005, 353570, 353570, 0
600.000577, 10.000003, 340494, 340494, 0
610.000567, 9.99999, 352813, 352813, 0
620.000544, 9.999977, 353784, 353784, 0
630.000555, 10.000011, 341341, 341341, 0
640.000555, 10.0, 353316, 353316, 0
650.000542, 9.999987, 355044, 355044, 0
660.000557, 10.000015, 345989, 345989, 0
670.000559, 10.000002, 352573, 352573, 0
680.000561, 10.000002, 353040, 353040, 0
690.00055, 9.999989, 346281, 346281, 0
700.000577, 10.000027, 352867, 352867, 0
710.000573, 9.999996, 357523, 357523, 0
720.000566, 9.999993, 346925, 346925, 0
730.000574, 10.000008, 350395, 350395, 0
740.000595, 10.000021, 356162, 356162, 0
750.00054, 9.999945, 340186, 340186, 0
760.000552, 10.000012, 356428, 356428, 0
770.000589, 10.000037, 352247, 352247, 0
780.00056, 9.999971, 346900, 346900, 0
790.000557, 9.999997, 348560, 348560, 0
800.000566, 10.000009, 357877, 357877, 0
810.00059, 10.000024, 339080, 339080, 0
820.000594, 10.000004, 357324, 357324, 0
830.000543, 9.999949, 355333, 355333, 0
840.000584, 10.000041, 341193, 341193, 0
850.000576, 9.999992, 351483, 351483, 0
860.000582, 10.000006, 358983, 358983, 0
870.000557, 9.999975, 341621, 341621, 0
880.000563, 10.000006, 352843, 352843, 0
890.000647, 10.000084, 359379, 359379, 0
900.000568, 9.999921, 344675, 344675, 0
910.008026, 10.007458, 352562, 352562, 0
920.000565, 9.992539, 355139, 355139, 0
930.000559, 9.999994, 341913, 341913, 0
940.000559, 10.0, 355086, 355086, 0
950.000587, 10.000028, 357226, 357226, 0
960.000573, 9.999986, 347635, 347635, 0
970.000567, 9.999994, 349953, 349953, 0
980.00056, 9.999993, 357585, 357585, 0
990.000544, 9.999984, 342550, 342550, 0
1000.000556, 10.000012, 351142, 351142, 0
1010.000556, 10.0, 357112, 357112, 0
1020.000555, 9.999999, 343848, 343848, 0
1030.000554, 9.999999, 354413, 354413, 0
1040.000553, 9.999999, 352607, 352607, 0
1050.001858, 10.001305, 342059, 342059, 0
1060.000559, 9.998701, 352451, 352451, 0
1070.000572, 10.000013, 359904, 359904, 0
1080.000552, 9.99998, 344271, 344271, 0
1090.00055, 9.999998, 350027, 350027, 0
1100.000558, 10.000008, 353015, 353015, 0
1110.00055, 9.999992, 345541, 345541, 0
1120.000567, 10.000017, 353367, 353367, 0
1130.000549, 9.999982, 353285, 353285, 0
1140.000643, 10.000094, 347556, 347556, 0
1150.00056, 9.999917, 344847, 344847, 0
1160.000554, 9.999994, 355569, 355569, 0
1170.000556, 10.000002, 348811, 348811, 0
1180.00055, 9.999994, 347343, 347343, 0
1190.000562, 10.000012, 358195, 358195, 0
1200.00056, 9.999998, 347240, 347240, 0
1210.000561, 10.000001, 350203, 350203, 0
1220.00057, 10.000009, 357823, 357823, 0
1230.000571, 10.000001, 345396, 345396, 0
1240.000562, 9.999991, 354033, 354033, 0
1250.000554, 9.999992, 349450, 349450, 0
1260.000545, 9.999991, 348206, 348206, 0
1270.000562, 10.000017, 345977, 345977, 0
1280.000559, 9.999997, 357694, 357694, 0
1290.000548, 9.999989, 341992, 341992, 0
1300.000558, 10.00001, 348218, 348218, 0
1310.000552, 9.999994, 358024, 358024, 0
1320.000591, 10.000039, 347296, 347296, 0
1330.000569, 9.999978, 349618, 349618, 0
1340.000692, 10.000123, 353330, 353330, 0
1350.00057, 9.999878, 347428, 347428, 0
1360.000597, 10.000027, 347462, 347462, 0
1370.000553, 9.999956, 356777, 356777, 0
1380.000565, 10.000012, 350200, 350200, 0
1390.00056, 9.999995, 350703, 350703, 0
1400.000544, 9.999984, 358625, 358625, 0
1410.000543, 9.999999, 346342, 346342, 0
1420.000554, 10.000011, 345996, 345996, 0
1430.00057, 10.000016, 356987, 356987, 0
1440.000558, 9.999988, 350017, 350017, 0
1450.000547, 9.999989, 344965, 344965, 0
1460.000566, 10.000019, 356745, 356745, 0
1470.000553, 9.999987, 352302, 352302, 0
1480.000543, 9.99999, 346249, 346249, 0
1490.000584, 10.000041, 354078, 354078, 0
1500.000553, 9.999969, 344069, 344069, 0
1510.000577, 10.000024, 345662, 345662, 0
1520.000566, 9.999989, 357179, 357179, 0
1530.000551, 9.999985, 348349, 348349, 0
1540.000586, 10.000035, 341933, 341933, 0
