elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999892, 9.999892, 208887, 481, 2530.7, 835, 5969, 7186, 12049, 18569, 0
20.000479, 10.000587, 193400, 512, 2574.0, 845, 6126, 7755, 13721, 21204, 0
30.000474, 9.999995, 195123, 508, 2550.8, 842, 6071, 7358, 11830, 16699, 0
40.000498, 10.000024, 194202, 494, 2556.8, 844, 6062, 7339, 11553, 19184, 0
50.000465, 9.999967, 190735, 485, 2587.0, 851, 6149, 7642, 11285, 17386, 0
60.000484, 10.000019, 192090, 511, 2581.3, 851, 6073, 7490, 13009, 17432, 0
70.000464, 9.99998, 192568, 509, 2584.3, 853, 6097, 7456, 13997, 18331, 0
80.000536, 10.000072, 190165, 499, 2603.5, 855, 6119, 7994, 14540, 26219, 0
90.000488, 9.999952, 192528, 508, 2578.8, 854, 6084, 7339, 11526, 17268, 0
100.000505, 10.000017, 191467, 503, 2592.9, 851, 6165, 7529, 13690, 20827, 0
110.000487, 9.999982, 187337, 501, 2638.5, 858, 6274, 8557, 16833, 30857, 0
120.000467, 9.99998, 193519, 489, 2574.4, 855, 5997, 7067, 11596, 17345, 0
130.000472, 10.000005, 190611, 499, 2583.2, 852, 6133, 7462, 12265, 17186, 0
140.000488, 10.000016, 189009, 499, 2641.0, 855, 6262, 8784, 16503, 28983, 0
150.000489, 10.000001, 192204, 506, 2599.0, 852, 6142, 7484, 11959, 23790, 0
160.000479, 9.99999, 192113, 492, 2574.2, 849, 6108, 7419, 11012, 18255, 0
170.000476, 9.999997, 189081, 477, 2616.4, 858, 6212, 8133, 15816, 29104, 0
180.000496, 10.00002, 192669, 502, 2579.2, 852, 6122, 7288, 11525, 19760, 0
190.000483, 9.999987, 192561, 510, 2580.6, 849, 6061, 7102, 12153, 21829, 0
200.00053, 10.000047, 189993, 501, 2610.6, 856, 6276, 8422, 15042, 26552, 0
210.000501, 9.999971, 192938, 501, 2569.3, 850, 6110, 7221, 10887, 17354, 0
220.000513, 10.000012, 191611, 497, 2585.2, 849, 6098, 7342, 12689, 19572, 0
230.000518, 10.000005, 189505, 497, 2610.8, 855, 6256, 8158, 15304, 25543, 0
240.000509, 9.999991, 192100, 513, 2583.8, 849, 6077, 7246, 12117, 17797, 0
250.000477, 9.999968, 191557, 503, 2586.4, 849, 6059, 7562, 13085, 19873, 0
260.000462, 9.999985, 187465, 510, 2628.5, 856, 6213, 8290, 15771, 26298, 0
270.000469, 10.000007, 193612, 503, 2582.8, 852, 6060, 7286, 13027, 19422, 0
280.000467, 9.999998, 191015, 498, 2587.0, 850, 6096, 7336, 12226, 19227, 0
290.000465, 9.999998, 188715, 501, 2627.9, 854, 6242, 8289, 15312, 23213, 0
300.000479, 10.000014, 190928, 506, 2596.2, 850, 6159, 7548, 13294, 21859, 0
310.000478, 9.999999, 192347, 477, 2594.4, 850, 6079, 7479, 13522, 18237, 0
320.000491, 10.000013, 187841, 512, 2630.8, 854, 6205, 8188, 15764, 28650, 0
330.000514, 10.000023, 192612, 500, 2584.2, 851, 6130, 7364, 12635, 17584, 0
340.000475, 9.999961, 193391, 500, 2566.1, 852, 6129, 7263, 11432, 19768, 0
350.000494, 10.000019, 187354, 489, 2641.4, 856, 6369, 8620, 15919, 26838, 0
360.000465, 9.999971, 191941, 485, 2598.8, 851, 6180, 7553, 13348, 17509, 0
370.000467, 10.000002, 199532, 509, 2497.5, 850, 6100, 7406, 12508, 18956, 0
380.000499, 10.000032, 187431, 482, 2567.0, 859, 6272, 8606, 16269, 33393, 0
390.000526, 10.000027, 190789, 503, 2595.3, 856, 6117, 7592, 14491, 18700, 0
400.000475, 9.999949, 193523, 502, 2584.0, 854, 6104, 7566, 14305, 20594, 0
410.000485, 10.00001, 189097, 509, 2617.0, 856, 6270, 8374, 14903, 25193, 0
420.000505, 10.00002, 192342, 514, 2582.5, 852, 6158, 7472, 12683, 18910, 0
430.000476, 9.999971, 191948, 500, 2584.1, 857, 6079, 7229, 11452, 16635, 0
440.000469, 9.999993, 187588, 507, 2636.5, 857, 6224, 8582, 16107, 37750, 0
450.000519, 10.00005, 191883, 511, 2589.3, 850, 6121, 7313, 13131, 18592, 0
460.000468, 9.999949, 201735, 515, 2491.2, 849, 5993, 7119, 11627, 17173, 0
470.000481, 10.000013, 172032, 512, 2801.1, 868, 6571, 12122, 17694, 37525, 0
480.000477, 9.999996, 193639, 502, 2578.6, 851, 6067, 7071, 12798, 17899, 0
490.000473, 9.999996, 192480, 482, 2582.2, 848, 6116, 7162, 12402, 18009, 0
500.000474, 10.000001, 189280, 502, 2618.2, 855, 6166, 8367, 15317, 24764, 0
510.000492, 10.000018, 192391, 504, 2592.0, 852, 6060, 7266, 13300, 17588, 0
520.000469, 9.999977, 191197, 503, 2580.3, 853, 6045, 7315, 12800, 17524, 0
530.000501, 10.000032, 185418, 498, 2667.5, 866, 6297, 8528, 15502, 23258, 0
540.000484, 9.999983, 192266, 496, 2593.9, 851, 6146, 7447, 12409, 21428, 0
