elapsed, window, total, successful, failed
10.000026, 10.000026, 216887, 216887, 0
20.000992, 10.000966, 196072, 196072, 0
30.000971, 9.999979, 192677, 192677, 0
40.000988, 10.000017, 192394, 192394, 0
50.00097, 9.999982, 191205, 191205, 0
60.001023, 10.000053, 188190, 188190, 0
70.000017, 9.998994, 188345, 188345, 0
80.000013, 9.999996, 190217, 190217, 0
90.000989, 10.000976, 186366, 186366, 0
100.000997, 10.000008, 190540, 190540, 0
110.001044, 10.000047, 191447, 191447, 0
120.000983, 9.999939, 184303, 184303, 0
130.001115, 10.000132, 191278, 191278, 0
140.000019, 9.998904, 191323, 191323, 0
150.001004, 10.000985, 188376, 188376, 0
160.000969, 9.999965, 190659, 190659, 0
170.000968, 9.999999, 192033, 192033, 0
180.001027, 10.000059, 185551, 185551, 0
190.000019, 9.998992, 191601, 191601, 0
200.001006, 10.000987, 192615, 192615, 0
210.000985, 9.999979, 186931, 186931, 0
220.000976, 9.999991, 189633, 189633, 0
230.000999, 10.000023, 195725, 195725, 0
240.000998, 9.999999, 190896, 190896, 0
250.00109, 10.000092, 193525, 193525, 0
260.000015, 9.998925, 195131, 195131, 0
270.001127, 10.001112, 192040, 192040, 0
280.000021, 9.998894, 195523, 195523, 0
